TotalTimeMin,CompletedTasks,RemainingTasks,TaskCompletionRate,ChargeVisits,FinalBatteryPct
480.0,7,1,0.875,1,43.08614021105056
479.69511928973407,8,0,1.0,1,25.053320485897576
480.0,7,1,0.875,1,44.360690382493885
473.75913600412235,8,0,1.0,1,21.57701737426697
470.9135983929333,8,0,1.0,1,26.222532294745108
480.0,7,1,0.875,1,43.11897430942053
480.0,7,1,0.875,1,44.31936966074193
480.0,7,1,0.875,1,43.501252632187665
470.3989311011427,8,0,1.0,1,25.10771078872462
458.2546041374178,8,0,1.0,1,26.570143353653012
480.0,7,1,0.875,1,39.69304155519147
478.93529428609116,8,0,1.0,1,26.58026221553688
480.0,7,1,0.875,1,42.237253496037106
480.0,7,1,0.875,1,45.83330744726626
473.21881817787545,8,0,1.0,1,23.764557033616843
480.0,7,1,0.875,1,42.85733940494967
480.0,7,1,0.875,1,45.82677142773655
473.4056189470964,8,0,1.0,1,25.698298145386776
478.18520270602437,8,0,1.0,1,24.416565574277367
466.9394690833371,8,0,1.0,1,23.73702291558672
470.0474409910467,8,0,1.0,1,26.33592704931375
474.8762451599978,8,0,1.0,1,25.171201989788916
480.0,7,1,0.875,1,44.16028448469217
480.0,7,1,0.875,1,45.65065208780473
473.14845531774995,8,0,1.0,1,26.226659891736226
480.0,7,1,0.875,1,44.15039201726586
474.6002911171826,8,0,1.0,1,28.409332550253826
480.0,7,1,0.875,1,43.00092770373867
480.0,7,1,0.875,1,43.673554396426965
474.4680386218929,8,0,1.0,1,27.121906384363726
468.137437392987,8,0,1.0,1,25.875665175790168
480.0,7,1,0.875,1,39.65757304055235
480.0,7,1,0.875,1,45.888646498162146
470.78149282176287,8,0,1.0,1,26.785031994631996
480.0,7,1,0.875,1,43.270822963365205
480.0,7,1,0.875,1,45.904875144261325
480.0,7,1,0.875,1,42.7841331280446
207.6349000283562,4,4,0.5,0,0.0
480.0,7,1,0.875,1,42.121581771068776
476.68278475808904,8,0,1.0,1,22.33876331818515
480.0,7,1,0.875,1,43.492804422791835
480.0,7,1,0.875,1,47.02678368973058
480.0,7,1,0.875,1,42.56684739654986
480.0,7,1,0.875,1,43.13084735295077
479.4601658532058,8,0,1.0,1,24.303804397466745
476.5429039079902,8,0,1.0,1,25.6611182696443
480.0,7,1,0.875,1,43.62483602337917
480.0,7,1,0.875,1,41.67542219082412
480.0,7,1,0.875,1,43.3050709431553
463.52149724945605,8,0,1.0,1,28.623472467187916
480.0,7,1,0.875,1,42.1260557956528
480.0,7,1,0.875,1,43.27817152582436
467.97295335901276,8,0,1.0,1,24.317991909554127
471.0503918285133,8,0,1.0,1,28.063139891186857
480.0,7,1,0.875,1,44.07763401350424
475.27235188251325,8,0,1.0,1,27.304281359187488
480.0,7,1,0.875,1,43.82610958177138
476.24908624833785,8,0,1.0,1,25.4328495923261
480.0,7,1,0.875,1,41.201024411461034
480.0,7,1,0.875,1,44.27405293588674
468.03762062851536,8,0,1.0,1,27.625742019410353
480.0,7,1,0.875,1,44.19971375225961
480.0,7,1,0.875,1,43.32713688533381
480.0,7,1,0.875,1,47.278232779805286
467.2775389695927,8,0,1.0,1,30.10762658636194
480.0,7,1,0.875,1,43.106516861331365
480.0,7,1,0.875,1,43.75706501260609
480.0,7,1,0.875,1,40.284111470534896
480.0,7,1,0.875,1,43.33056625761478
474.68313695380516,8,0,1.0,1,22.243749589717314
480.0,7,1,0.875,1,44.842209603661175
480.0,7,1,0.875,1,41.40435278779955
472.54084335739566,8,0,1.0,1,23.908603287879995
464.3061102579687,8,0,1.0,1,23.687085551757768
469.9518393570295,8,0,1.0,1,27.590576488335866
476.9268365848677,8,0,1.0,1,25.10837994814006
480.0,7,1,0.875,1,47.27138892093849
479.462543282201,8,0,1.0,1,20.89399257187563
480.0,7,1,0.875,1,42.28501708762389
470.5303879084945,8,0,1.0,1,26.628843214365265
475.870472909648,8,0,1.0,1,28.335119817083715
480.0,7,1,0.875,1,46.068430986632634
477.9634041794224,8,0,1.0,1,25.709532509395263
480.0,7,1,0.875,1,44.60688203271609
480.0,7,1,0.875,1,45.07261607205248
480.0,7,1,0.875,1,41.19649881825778
480.0,7,1,0.875,1,42.169998741716796
461.3766763110226,8,0,1.0,1,27.659694210845018
480.0,7,1,0.875,1,41.01095886773764
480.0,7,1,0.875,1,42.68158868720474
463.7677326425374,8,0,1.0,1,25.322238518771414
472.1426003012587,8,0,1.0,1,25.01039613299895
479.2995157665965,8,0,1.0,1,24.801919448377227
480.0,7,1,0.875,1,46.321053263232415
480.0,7,1,0.875,1,45.12231566640331
480.0,7,1,0.875,1,46.48867260818872
480.0,7,1,0.875,1,42.57541078609469
472.1655848380178,8,0,1.0,1,25.382118900361966
480.0,7,1,0.875,1,41.12088340905217
480.0,7,1,0.875,1,39.63275509652748
478.62195257010336,8,0,1.0,1,22.289777745097247
475.4039588113009,8,0,1.0,1,26.935896167946584
480.0,7,1,0.875,1,42.695428417711916
463.87713968571785,8,0,1.0,1,27.47417785987907
480.0,7,1,0.875,1,43.87182961568884
478.3924948870386,8,0,1.0,1,24.87339341679523
462.9910986637553,8,0,1.0,1,28.194512588402624
480.0,7,1,0.875,1,42.37486004129775
480.0,7,1,0.875,1,42.227166776242264
474.1762894753432,8,0,1.0,1,21.595040505952113
477.2850352389295,8,0,1.0,1,25.551619863648497
480.0,7,1,0.875,1,44.18196671907705
480.0,7,1,0.875,1,42.466339069651696
480.0,7,1,0.875,1,44.06250593700008
477.87245268544456,8,0,1.0,1,25.539869903206586
480.0,7,1,0.875,1,46.132087663446164
460.0868003863674,8,0,1.0,1,27.63287183657707
480.0,7,1,0.875,1,44.155045407872535
478.8781948819844,8,0,1.0,1,23.151470675775364
475.426168730307,8,0,1.0,1,23.864615365998887
480.0,7,1,0.875,1,41.87321921446925
471.11674643140236,8,0,1.0,1,26.738217946264296
480.0,7,1,0.875,1,40.79984566260591
480.0,7,1,0.875,1,43.36321732458276
470.1635390878522,8,0,1.0,1,26.857971361887913
462.65372656887786,8,0,1.0,1,26.998541479026684
470.0773758995169,8,0,1.0,1,26.18568737325521
480.0,7,1,0.875,1,41.799103056279996
468.02095721745076,8,0,1.0,1,27.303228307483796
480.0,7,1,0.875,1,43.418464024146836
480.0,7,1,0.875,1,44.33433484786816
480.0,7,1,0.875,1,45.37888958090821
480.0,7,1,0.875,1,40.32547052286198
480.0,7,1,0.875,1,42.99286636864495
469.98684887916886,8,0,1.0,1,27.52573600451559
480.0,7,1,0.875,1,45.737214719835286
480.0,7,1,0.875,1,40.371800139916004
480.0,7,1,0.875,1,46.40316218785456
480.0,7,1,0.875,1,43.0064512464253
480.0,7,1,0.875,1,46.41520676858062
472.11803435703956,8,0,1.0,1,24.394529156077564
477.9153891324833,8,0,1.0,1,22.9475436790502
480.0,7,1,0.875,1,43.13862517112592
480.0,7,1,0.875,1,39.68218489357507
480.0,7,1,0.875,1,43.31308828497205
471.26055141966066,8,0,1.0,1,25.963369446381588
480.0,7,1,0.875,1,46.438532348030094
471.8308465905309,8,0,1.0,1,25.278654993401826
480.0,7,1,0.875,1,41.333361913732105
474.53888140838944,8,0,1.0,1,25.965283329999746
480.0,7,1,0.875,1,42.11166527909289
480.0,7,1,0.875,1,45.92830235327627
480.0,7,1,0.875,1,42.789626702134726
480.0,7,1,0.875,1,42.056076492457606
465.56516229855725,8,0,1.0,1,26.18022861287905
474.1030761540085,8,0,1.0,1,22.267283836559624
480.0,7,1,0.875,1,43.659490565617354
474.02069546920126,8,0,1.0,1,28.29860993651838
473.1424755308664,8,0,1.0,1,24.848353571477137
480.0,7,1,0.875,1,42.92149830084398
480.0,7,1,0.875,1,46.26210756877151
480.0,7,1,0.875,1,45.00434250944764
209.03659997576725,4,4,0.5,0,0.0
480.0,7,1,0.875,1,42.71201379921867
480.0,7,1,0.875,1,42.972211054323026
466.4073253249872,8,0,1.0,1,27.165372479283473
468.94122285772056,8,0,1.0,1,28.699259176490585
480.0,7,1,0.875,1,40.510875651410636
470.2948156265107,8,0,1.0,1,24.319972896209055
480.0,7,1,0.875,1,41.480868589055675
480.0,7,1,0.875,1,46.27098859803888
480.0,7,1,0.875,1,47.82499290081464
464.6200949650973,8,0,1.0,1,27.93090522374556
480.0,7,1,0.875,1,44.09919033627564
478.8175776046402,8,0,1.0,1,24.040477304948013
480.0,7,1,0.875,1,41.68317462134164
477.48097572751135,8,0,1.0,1,23.656332646419514
480.0,7,1,0.875,1,43.13240842899124
480.0,7,1,0.875,1,45.946401834604245
480.0,7,1,0.875,1,43.15000845424212
480.0,7,1,0.875,1,41.72633750994167
472.6436139048479,8,0,1.0,1,25.373563127131465
464.67280006933504,8,0,1.0,1,29.99287954756879
480.0,7,1,0.875,1,43.61356157743342
471.85310179560327,8,0,1.0,1,24.17163877665286
480.0,7,1,0.875,1,42.269408917618804
468.2617822764887,8,0,1.0,1,22.894895681319074
476.39883026130167,8,0,1.0,1,26.558543696069798
465.3417682529474,8,0,1.0,1,28.547937346660937
472.31324656362494,8,0,1.0,1,22.09032581715093
470.22280919342546,8,0,1.0,1,25.700947014382507
462.7316371842848,8,0,1.0,1,27.093655371584656
480.0,7,1,0.875,1,40.886847477685606
471.191115190926,8,0,1.0,1,25.663496304428048
480.0,7,1,0.875,1,40.85539065215641
480.0,7,1,0.875,1,44.54397030073568
476.5632484967845,8,0,1.0,1,25.535906796700676
480.0,7,1,0.875,1,43.152956953440736
480.0,7,1,0.875,1,44.96306623042433
480.0,7,1,0.875,1,43.64155012030979
480.0,7,1,0.875,1,43.44966398613528
464.4157447208994,8,0,1.0,1,28.340948695671617
480.0,7,1,0.875,1,41.56185641380687
480.0,7,1,0.875,1,43.9958049458984
479.7709155958398,8,0,1.0,1,22.20427936335226
463.92051372022763,8,0,1.0,1,26.084402583062534
480.0,7,1,0.875,1,41.440570593227896
462.18910756625337,8,0,1.0,1,27.85625431737268
480.0,7,1,0.875,1,41.29124963370673
480.0,7,1,0.875,1,41.78863816847038
474.37382906665545,8,0,1.0,1,27.416872794897785
480.0,7,1,0.875,1,39.442111408093595
480.0,7,1,0.875,1,43.27935351128983
480.0,7,1,0.875,1,40.654054179948986
477.78934288083036,8,0,1.0,1,25.35380989326299
472.843006327164,8,0,1.0,1,27.021443067094282
480.0,7,1,0.875,1,46.08881646604587
480.0,7,1,0.875,1,42.01682672106874
480.0,7,1,0.875,1,42.71626265697495
480.0,7,1,0.875,1,43.622444972307264
470.0320607931758,8,0,1.0,1,25.49211307773014
480.0,7,1,0.875,1,47.172372349695166
480.0,7,1,0.875,1,45.26771108608551
480.0,7,1,0.875,1,42.373805909651736
480.0,7,1,0.875,1,42.382411560619616
480.0,7,1,0.875,1,41.804303150375446
480.0,7,1,0.875,1,44.97189286876798
480.0,7,1,0.875,1,44.39288270163735
480.0,7,1,0.875,1,42.15803051014419
480.0,7,1,0.875,1,45.25757577545155
479.19669950054094,8,0,1.0,1,23.32600885880469
467.0304661635139,8,0,1.0,1,27.406625191516593
480.0,7,1,0.875,1,43.253278411550895
480.0,7,1,0.875,1,43.5210411919318
480.0,7,1,0.875,1,42.95233775703897
480.0,7,1,0.875,1,43.16869455646119
480.0,7,1,0.875,1,41.78057258508818
476.57218461046887,8,0,1.0,1,23.82380298987107
480.0,7,1,0.875,1,42.313073883438676
480.0,7,1,0.875,1,44.50809678429104
480.0,7,1,0.875,1,42.85518360765779
467.4828317810111,8,0,1.0,1,26.599835530375376
208.58632288288504,4,4,0.5,0,0.0
480.0,7,1,0.875,1,41.69149544948077
468.91586853703166,8,0,1.0,1,25.63001674617047
470.162940819903,8,0,1.0,1,24.877544260940855
476.62467114825125,8,0,1.0,1,22.139485879280308
480.0,7,1,0.875,1,43.22750214687691
469.6298745446544,8,0,1.0,1,23.51105024914316
470.30785855708297,8,0,1.0,1,25.34719373091769
480.0,7,1,0.875,1,44.06377064221895
468.2036058592997,8,0,1.0,1,24.334570591506605
470.7296773042625,8,0,1.0,1,22.05084478049622
474.55626486723787,8,0,1.0,1,23.719351979286028
480.0,7,1,0.875,1,42.438675564121326
478.41622349192,8,0,1.0,1,23.259998849143965
480.0,7,1,0.875,1,43.931883968336024
480.0,7,1,0.875,1,39.71910755674455
480.0,7,1,0.875,1,44.043447481758776
472.75275011902926,8,0,1.0,1,24.13944797766473
464.0373011821015,8,0,1.0,1,27.625188031553925
463.43656786695306,8,0,1.0,1,27.14475597788182
470.2104021495236,8,0,1.0,1,24.760081174189793
478.8631247825675,8,0,1.0,1,24.50538799690468
480.0,7,1,0.875,1,40.96893779911883
480.0,7,1,0.875,1,44.406185686137356
478.10399143319574,8,0,1.0,1,26.154946192041212
460.8923573184807,8,0,1.0,1,27.8642607854315
480.0,7,1,0.875,1,43.41074263725288
460.106721594578,8,0,1.0,1,28.848332779996685
479.3195995452633,8,0,1.0,1,28.88896747651466
469.8777586818544,8,0,1.0,1,25.92971330920416
477.9007486553849,8,0,1.0,1,23.167661692318088
473.5184067737266,8,0,1.0,1,25.30320303152527
472.8067465379265,8,0,1.0,1,25.436398610701985
480.0,7,1,0.875,1,43.737643841289085
480.0,7,1,0.875,1,45.07788219292154
471.7711137506687,8,0,1.0,1,26.203359121415456
480.0,7,1,0.875,1,43.47468785862321
480.0,7,1,0.875,1,44.112343319421065
476.61534280730666,8,0,1.0,1,23.502233191768475
470.24877822866426,8,0,1.0,1,30.899402136222783
480.0,7,1,0.875,1,42.38113613329434
480.0,7,1,0.875,1,40.62882932778664
465.586313182047,8,0,1.0,1,26.772862975583315
480.0,7,1,0.875,1,43.0993465731968
477.82252847296746,8,0,1.0,1,27.042556911466498
477.85642025687935,8,0,1.0,1,21.759580972796755
480.0,7,1,0.875,1,44.18892788846624
480.0,7,1,0.875,1,45.62127639485793
480.0,7,1,0.875,1,45.54626485545678
469.26310407251117,8,0,1.0,1,25.777312506630587
475.4932839876801,8,0,1.0,1,28.463827738766796
480.0,7,1,0.875,1,42.857226047536024
480.0,7,1,0.875,1,46.00429782419531
469.36612108245197,8,0,1.0,1,25.306910371718757
466.19044630329887,8,0,1.0,1,28.379873817528935
475.37583039984406,8,0,1.0,1,25.44061687201483
480.0,7,1,0.875,1,40.73716859039126
478.7925243984918,8,0,1.0,1,26.575102223238794
479.37155627104147,8,0,1.0,1,28.770579750914706
480.0,7,1,0.875,1,43.55928451738638
480.0,7,1,0.875,1,44.39746711769328
480.0,7,1,0.875,1,43.5264008513047
470.3157745811925,8,0,1.0,1,26.98098209102147
480.0,7,1,0.875,1,43.43683078088097
480.0,7,1,0.875,1,41.41092277218834
480.0,7,1,0.875,1,42.967952243645385
480.0,7,1,0.875,1,41.558375530635836
480.0,7,1,0.875,1,44.87305410340222
480.0,7,1,0.875,1,45.85619053772425
480.0,7,1,0.875,1,44.95454910893409
480.0,7,1,0.875,1,42.50594832146223
480.0,7,1,0.875,1,46.2519086845607
471.4568665862891,8,0,1.0,1,26.369101610291107
480.0,7,1,0.875,1,40.00436441945578
480.0,7,1,0.875,1,44.92506002034965
480.0,7,1,0.875,1,42.27864117781873
464.37634764419585,8,0,1.0,1,28.688830062175537
476.82654556228067,8,0,1.0,1,23.965349671447644
480.0,7,1,0.875,1,42.00602608692529
473.4107962922026,8,0,1.0,1,27.60459503600956
467.95654009294435,8,0,1.0,1,26.367867800602006
478.8455725280849,8,0,1.0,1,23.67474174750315
469.724262290152,8,0,1.0,1,25.864874500896743
476.56498957785584,8,0,1.0,1,22.702467443834685
472.57547920004754,8,0,1.0,1,25.200248225714024
473.00672556246604,8,0,1.0,1,25.721509378919475
475.7328545963227,8,0,1.0,1,26.40246763045805
480.0,7,1,0.875,1,42.03624167313059
477.6751165204609,8,0,1.0,1,27.317203231161876
480.0,7,1,0.875,1,43.142039981428844
469.86371402047723,8,0,1.0,1,25.3388032032266
466.81076990119584,8,0,1.0,1,29.229944384731358
480.0,7,1,0.875,1,43.88367060884771
480.0,7,1,0.875,1,40.173167859970825
480.0,7,1,0.875,1,44.74718892253706
476.6704193314253,8,0,1.0,1,22.26152996427321
480.0,7,1,0.875,1,42.768986646555646
468.77949686983436,8,0,1.0,1,25.734030745455247
469.94242552837716,8,0,1.0,1,28.55951211286903
480.0,7,1,0.875,1,44.34951254741267
477.49910227296294,8,0,1.0,1,24.82161548142655
478.06505591576877,8,0,1.0,1,23.58405604584385
470.3703483579085,8,0,1.0,1,28.759730444108055
479.4226423397195,8,0,1.0,1,23.117070551345684
480.0,7,1,0.875,1,42.03478194006438
480.0,7,1,0.875,1,42.99736064828937
465.6333883026898,8,0,1.0,1,24.1562117555659
480.0,7,1,0.875,1,44.355574704239274
468.38221950681145,8,0,1.0,1,28.11547863666078
477.93655649929696,8,0,1.0,1,22.483432860168328
480.0,7,1,0.875,1,40.02498771245659
467.989270354559,8,0,1.0,1,26.380498618032117
461.47260554266984,8,0,1.0,1,30.095036020532056
480.0,7,1,0.875,1,45.06091104701454
471.9954857625907,8,0,1.0,1,27.13633226732002
478.9134601382305,8,0,1.0,1,22.95580629436837
480.0,7,1,0.875,1,40.59370947244339
480.0,7,1,0.875,1,41.445953696885994
480.0,7,1,0.875,1,45.695199831061885
480.0,7,1,0.875,1,45.25302826726957
475.36224041060484,8,0,1.0,1,24.98320125342869
480.0,7,1,0.875,1,40.9395933560744
480.0,7,1,0.875,1,43.43191071698223
480.0,7,1,0.875,1,45.53889824622873
464.63629309304827,8,0,1.0,1,28.55128125969757
480.0,7,1,0.875,1,43.61166170319641
471.2988204294031,8,0,1.0,1,26.94355078497485
473.61877876496044,8,0,1.0,1,26.85396350004408
480.0,7,1,0.875,1,45.49543203695308
480.0,7,1,0.875,1,43.02964699324306
480.0,7,1,0.875,1,44.049207932061975
480.0,7,1,0.875,1,42.2243335057538
480.0,7,1,0.875,1,41.732176531568726
478.4979841055075,8,0,1.0,1,25.663496281211884
466.6292416316087,8,0,1.0,1,25.813509131526708
467.232518274806,8,0,1.0,1,28.662350350749563
480.0,7,1,0.875,1,44.91543355282448
480.0,7,1,0.875,1,43.75458123942643
474.3190125401326,8,0,1.0,1,28.285245182718047
479.5699432262753,8,0,1.0,1,23.76803504505578
480.0,7,1,0.875,1,41.169421235835415
478.2066148610354,8,0,1.0,1,25.71017901394273
480.0,7,1,0.875,1,42.701875940223154
465.66723628936023,8,0,1.0,1,27.063443973347834
464.4541266348982,8,0,1.0,1,30.934864031193687
463.8017488881561,8,0,1.0,1,27.95742498147539
478.0647723706176,8,0,1.0,1,27.55050850417744
473.1422083449135,8,0,1.0,1,22.654803943452794
473.5897986611364,8,0,1.0,1,26.04123271282378
480.0,7,1,0.875,1,46.57663255317732
480.0,7,1,0.875,1,43.6920983124803
466.2172345757559,8,0,1.0,1,25.376067643847236
477.56358039678884,8,0,1.0,1,25.323713607347855
480.0,7,1,0.875,1,42.231101087982694
475.0112425275857,8,0,1.0,1,25.999078243022023
480.0,7,1,0.875,1,43.33205485344479
480.0,7,1,0.875,1,42.546878482137714
468.96744283631085,8,0,1.0,1,25.760662539784033
480.0,7,1,0.875,1,44.80322654381376
475.669672209988,8,0,1.0,1,24.4483513915178
472.89387162764416,8,0,1.0,1,26.103978092096828
475.753667311989,8,0,1.0,1,26.871604012267188
475.7033754160445,8,0,1.0,1,26.495533823893524
480.0,7,1,0.875,1,41.78018860715966
480.0,7,1,0.875,1,42.61200248645408
480.0,7,1,0.875,1,41.04451250240543
471.5906429613313,8,0,1.0,1,26.148260750485807
480.0,7,1,0.875,1,46.03606732980194
480.0,7,1,0.875,1,40.45162595157798
480.0,7,1,0.875,1,43.02731523885758
480.0,7,1,0.875,1,39.56935470569589
480.0,7,1,0.875,1,40.9820066278037
480.0,7,1,0.875,1,42.82960668154035
470.00066009722184,8,0,1.0,1,25.336629851516086
480.0,7,1,0.875,1,43.67472511745457
480.0,7,1,0.875,1,39.52116290269393
471.92903525119345,8,0,1.0,1,28.6573830614534
472.12362263621156,8,0,1.0,1,21.50688337842826
480.0,7,1,0.875,1,46.15968510076367
474.46316638002503,8,0,1.0,1,23.066914979310546
480.0,7,1,0.875,1,41.17324645261368
473.4047694716963,8,0,1.0,1,24.864087818610493
480.0,7,1,0.875,1,42.80479903829543
480.0,7,1,0.875,1,44.60083879400738
480.0,7,1,0.875,1,43.77312626432506
469.4640356931592,8,0,1.0,1,30.353148205673506
468.90762936873125,8,0,1.0,1,27.53192651287574
476.46849037578465,8,0,1.0,1,26.570419456712393
480.0,7,1,0.875,1,41.83720802802227
480.0,7,1,0.875,1,41.92365696625136
480.0,7,1,0.875,1,42.72925439393042
480.0,7,1,0.875,1,41.038519967916834
468.75238701851674,8,0,1.0,1,27.550220493859268
480.0,7,1,0.875,1,45.21076130581564
480.0,7,1,0.875,1,44.447519277613914
467.984533273351,8,0,1.0,1,29.408400150016924
479.7465689197652,8,0,1.0,1,26.139789821852844
480.0,7,1,0.875,1,43.38364579637698
480.0,7,1,0.875,1,42.06663170112348
480.0,7,1,0.875,1,43.23883486103384
480.0,7,1,0.875,1,41.9322348120765
480.0,7,1,0.875,1,43.51912590628653
480.0,7,1,0.875,1,43.86049056898197
480.0,7,1,0.875,1,40.800883531240444
480.0,7,1,0.875,1,42.956891905241655
480.0,7,1,0.875,1,43.53579126592916
480.0,7,1,0.875,1,44.55519547600089
475.5829941429822,8,0,1.0,1,25.845826846455346
480.0,7,1,0.875,1,46.20410452468502
480.0,7,1,0.875,1,44.20869421916847
479.26742915207814,8,0,1.0,1,25.887630863939044
480.0,7,1,0.875,1,44.85139617182145
480.0,7,1,0.875,1,43.8284105332465
478.34116367100836,8,0,1.0,1,25.728126552116326
471.02779457217025,8,0,1.0,1,31.557903208141237
480.0,7,1,0.875,1,40.900326736635094
480.0,7,1,0.875,1,45.06482483986771
480.0,7,1,0.875,1,45.798106786432164
480.0,7,1,0.875,1,45.96690524439092
480.0,7,1,0.875,1,45.1590520930508
480.0,7,1,0.875,1,42.21620428618796
469.919411614354,8,0,1.0,1,24.148997949987912
480.0,7,1,0.875,1,40.86704796498785
480.0,7,1,0.875,1,39.59167524796788
480.0,7,1,0.875,1,42.36886918427271
480.0,7,1,0.875,1,45.42418525466323
468.3422972034276,8,0,1.0,1,28.73751938147925
469.53261009222723,8,0,1.0,1,27.929072222133264
480.0,7,1,0.875,1,43.737341969423575
480.0,7,1,0.875,1,46.339653424648716
475.24288665202954,8,0,1.0,1,27.59419244623583
480.0,7,1,0.875,1,40.74990647780215
473.5176243212886,8,0,1.0,1,25.91874823890733
474.74243260041203,8,0,1.0,1,23.097371751475453
480.0,7,1,0.875,1,42.0274230180422
480.0,7,1,0.875,1,46.55454976633151
480.0,7,1,0.875,1,42.39355949719294
479.08098347070745,8,0,1.0,1,23.10850763880362
469.56360679700504,8,0,1.0,1,24.66990705073418
480.0,7,1,0.875,1,41.86017658327317
480.0,7,1,0.875,1,43.41979555044303
480.0,7,1,0.875,1,43.012484077957154
480.0,7,1,0.875,1,46.58890601386406
478.57524384103976,8,0,1.0,1,23.27157523707422
480.0,7,1,0.875,1,44.191163780217565
480.0,7,1,0.875,1,40.91628085729717
465.08968971855955,8,0,1.0,1,28.32913732055989
480.0,7,1,0.875,1,39.96277638368579
478.24145188894727,8,0,1.0,1,23.547185737013745
480.0,7,1,0.875,1,42.73803063991964
479.197183540648,8,0,1.0,1,21.619824349808297
477.31664874013205,8,0,1.0,1,20.865951446845752
480.0,7,1,0.875,1,44.46096436461724
480.0,7,1,0.875,1,44.90753245850786
480.0,7,1,0.875,1,41.04443432733989
477.61565558669906,8,0,1.0,1,23.214650876590934
480.0,7,1,0.875,1,41.6603737407069
480.0,7,1,0.875,1,42.63188175940012
469.0655731522715,8,0,1.0,1,27.191130820600442
469.846731268933,8,0,1.0,1,27.01079782868208
480.0,7,1,0.875,1,46.79041598655289
480.0,7,1,0.875,1,42.2820230065923
471.4189036692468,8,0,1.0,1,23.704301066061426
480.0,7,1,0.875,1,42.60263660858645
479.57980677814743,8,0,1.0,1,24.216542849209805
480.0,7,1,0.875,1,42.003982717107476
480.0,7,1,0.875,1,43.08260329644309
480.0,7,1,0.875,1,41.844388291151105
473.58770113230497,8,0,1.0,1,25.030812065591743
469.2430871794738,8,0,1.0,1,25.62100906990354
468.35809741428227,8,0,1.0,1,30.00267339550543
480.0,7,1,0.875,1,43.56520987901168
480.0,7,1,0.875,1,45.47774848906494
470.94947391938194,8,0,1.0,1,26.83744321869126
480.0,7,1,0.875,1,42.66595004377386
