TotalTimeMin,CompletedTasks,RemainingTasks,TaskCompletionRate,ChargeVisits,FinalBatteryPct
472.04190765353957,8,0,1.0,1,9.679078060580188
480.0,7,1,0.875,1,20.776443761313267
477.65367606565803,8,0,1.0,1,24.589520192697442
480.0,7,1,0.875,1,41.0325104335892
458.92145011819986,8,0,1.0,1,28.001512259261766
467.428538403286,8,0,1.0,1,8.592514665875076
480.0,5,3,0.625,2,81.36687147725384
480.0,6,2,0.75,2,61.89576798511983
480.0,6,2,0.75,1,40.73899112478831
201.88443608749702,3,5,0.375,0,0.0
473.22926778898614,8,0,1.0,1,9.748105034858042
480.0,5,3,0.625,2,80.21917827499237
480.0,6,2,0.75,1,23.900427908808922
468.808220613549,8,0,1.0,1,9.516471607453425
470.1320532103566,8,0,1.0,1,10.606325705559193
479.6784093181866,8,0,1.0,1,4.84346102163013
480.0,5,3,0.625,2,79.52990744663698
474.8555448166089,8,0,1.0,1,8.314715121930725
480.0,5,3,0.625,2,80.82689501073969
480.0,7,1,0.875,1,24.53217752322873
480.0,6,2,0.75,1,41.21934369519252
480.0,6,2,0.75,2,100.0
480.0,5,3,0.625,2,81.75887113165447
469.7423404149655,8,0,1.0,1,26.379118422541374
480.0,5,3,0.625,2,100.0
474.39776011156994,8,0,1.0,1,6.033037056427222
480.0,7,1,0.875,1,43.2398276752403
480.0,7,1,0.875,1,23.707951978922882
480.0,5,3,0.625,2,80.55371504868315
472.4739346916532,8,0,1.0,1,25.11109755822056
480.0,7,1,0.875,1,42.46951931772547
480.0,6,2,0.75,2,61.907327232243546
480.0,5,3,0.625,2,62.64452957174048
463.8501914365777,8,0,1.0,1,26.126240910953015
477.4455466059238,8,0,1.0,1,7.174621627217096
480.0,7,1,0.875,1,23.163966614867036
230.84308999380454,4,4,0.5,0,0.0
468.2716268555435,8,0,1.0,1,8.161333852605424
480.0,6,2,0.75,2,63.08799021008054
480.0,7,1,0.875,1,21.689199341117106
479.8728412073433,8,0,1.0,1,6.298881603301961
480.0,7,1,0.875,1,21.396331306369017
464.04271316134975,8,0,1.0,1,29.884121934859373
480.0,5,3,0.625,2,62.51000844650301
480.0,5,3,0.625,2,80.47423818878748
480.0,5,3,0.625,2,100.0
465.6822769262218,8,0,1.0,1,28.204857362923395
471.72224797250476,8,0,1.0,1,10.046269407138347
470.97463397294194,8,0,1.0,1,22.753433981495927
480.0,6,2,0.75,2,81.121999115932
476.52842450042874,8,0,1.0,1,25.201251623952597
476.34136175845947,8,0,1.0,1,5.26360222222247
480.0,6,2,0.75,2,63.4701187486
480.0,5,3,0.625,2,100.0
480.0,7,1,0.875,1,43.19412361808767
478.18045000077245,8,0,1.0,1,23.012547471730702
469.3952358200441,8,0,1.0,1,26.809509733627777
471.21053412695954,8,0,1.0,1,8.064553026065855
479.03913459802504,8,0,1.0,1,4.741894578046136
473.9863940901402,8,0,1.0,1,25.51335270998817
480.0,5,3,0.625,2,61.75902737578427
480.0,6,2,0.75,1,21.401536132168594
469.29814297686454,8,0,1.0,1,10.276839623162818
480.0,5,3,0.625,1,40.50020986444403
477.02412586620574,8,0,1.0,1,26.828120407619622
480.0,7,1,0.875,1,26.013271091513527
480.0,5,3,0.625,2,81.9464654044735
468.82401001092904,8,0,1.0,1,10.744231850584132
480.0,5,3,0.625,2,100.0
480.0,5,3,0.625,2,81.16515097262476
478.79165322446903,8,0,1.0,1,22.372767690504055
465.63641005589153,8,0,1.0,1,9.824161473304013
480.0,6,2,0.75,1,40.71991359523541
470.8079920233753,8,0,1.0,1,11.056000115370711
480.0,7,1,0.875,1,23.93229335363284
479.67860247812445,8,0,1.0,1,4.600932492330717
480.0,7,1,0.875,1,21.39916600989195
480.0,5,3,0.625,2,81.60956633491436
480.0,5,3,0.625,2,100.0
480.0,5,3,0.625,2,100.0
480.0,5,3,0.625,2,79.37731205024053
480.0,7,1,0.875,1,22.92242589392305
480.0,6,2,0.75,2,60.90952301521505
480.0,5,3,0.625,2,81.9211441133818
480.0,5,3,0.625,2,100.0
480.0,7,1,0.875,1,23.62014049383205
472.313896388548,8,0,1.0,1,24.066491588015005
480.0,5,3,0.625,2,82.96619715318796
480.0,7,1,0.875,1,23.00247167378897
479.6247929125103,8,0,1.0,1,3.327099767363091
480.0,7,1,0.875,1,20.570907848622223
472.4279891141732,8,0,1.0,1,8.063577920480064
480.0,7,1,0.875,1,23.566674773466307
479.0699928634995,8,0,1.0,1,8.265404818485468
480.0,5,3,0.625,2,80.926421658816
230.69614563305174,4,4,0.5,0,0.0
475.8380215056656,8,0,1.0,1,25.256437285707857
480.0,5,3,0.625,2,100.0
459.42221462919576,8,0,1.0,1,13.282740572790157
480.0,7,1,0.875,1,25.51740686195088
473.13868360288797,8,0,1.0,1,11.09357692802352
480.0,6,2,0.75,1,44.166743519060816
480.0,7,1,0.875,1,24.402666069996542
480.0,5,3,0.625,2,81.4754208369956
480.0,7,1,0.875,1,4.233808313115382
480.0,6,2,0.75,1,43.19995493458483
471.04661952154413,8,0,1.0,1,26.43466095563318
457.1844367939043,8,0,1.0,1,28.63436306703829
480.0,7,1,0.875,1,22.87515672792747
478.95071889032107,8,0,1.0,1,4.483037646460414
479.4367017266415,8,0,1.0,1,6.130407073933068
471.1093713944877,8,0,1.0,1,25.09743150447958
462.30908208829294,8,0,1.0,1,28.09265702634704
480.0,7,1,0.875,1,24.596335309746863
480.0,6,2,0.75,2,65.98284276597059
469.7575082270215,8,0,1.0,1,10.648404052187967
480.0,7,1,0.875,1,41.97543414061565
480.0,5,3,0.625,2,100.0
480.0,6,2,0.75,1,39.584513617033764
469.72018952175995,8,0,1.0,1,9.911780303779349
469.96266493215455,8,0,1.0,1,7.211153893842543
480.0,6,2,0.75,1,43.90067836289839
480.0,6,2,0.75,2,80.53266854566087
480.0,5,3,0.625,2,81.55082422128332
480.0,5,3,0.625,2,100.0
480.0,5,3,0.625,2,100.0
480.0,6,2,0.75,1,44.52836069332401
471.6182292011983,8,0,1.0,1,24.30013779266183
480.0,7,1,0.875,1,42.27410074043564
480.0,5,3,0.625,2,80.31078983783848
475.9749272127555,8,0,1.0,1,8.939795164042849
457.02455978471136,8,0,1.0,1,12.14671910800525
476.184533257234,8,0,1.0,1,6.366807505101761
480.0,7,1,0.875,1,24.31803181180747
480.0,5,3,0.625,2,100.0
475.8518882645444,8,0,1.0,1,3.6950405106401085
480.0,7,1,0.875,1,24.929925861832846
480.0,7,1,0.875,1,24.52565124665509
480.0,6,2,0.75,2,63.192319259073756
467.1218425085206,8,0,1.0,1,25.47623508286222
480.0,5,3,0.625,2,61.29105657657671
480.0,7,1,0.875,1,26.292659568442645
480.0,7,1,0.875,1,25.109075733308618
480.0,5,3,0.625,2,100.0
471.16155504369885,8,0,1.0,1,8.006290746443103
480.0,7,1,0.875,1,22.68264568375212
480.0,7,1,0.875,1,27.473078195626595
463.65540351625845,8,0,1.0,1,9.247832058469633
470.34979600843644,8,0,1.0,1,10.437361212277956
480.0,6,2,0.75,1,44.09366275374583
480.0,6,2,0.75,1,42.46788815326186
463.71048531083505,8,0,1.0,1,26.68201390760391
463.9941124480486,8,0,1.0,1,9.916979071889667
476.77326514619887,8,0,1.0,1,7.757583421249478
473.49592480320104,8,0,1.0,1,6.4485543156088205
480.0,7,1,0.875,1,43.56556874328601
475.94385373854794,8,0,1.0,1,8.0961687035064
480.0,5,3,0.625,2,100.0
478.957891352663,8,0,1.0,1,22.651805185053902
470.49294921732246,8,0,1.0,1,7.422325369474795
480.0,5,3,0.625,2,82.60592347760333
480.0,7,1,0.875,1,43.41107562921182
469.6841232722026,8,0,1.0,1,8.232874579271677
480.0,7,1,0.875,1,24.076017366260206
480.0,5,3,0.625,2,100.0
478.2013443929704,8,0,1.0,1,7.727875338095476
480.0,5,3,0.625,2,63.84672062252599
480.0,7,1,0.875,1,26.199806926639834
471.44824155797266,8,0,1.0,1,7.540928983847881
480.0,7,1,0.875,1,24.871886530694226
480.0,7,1,0.875,1,27.03687994879154
480.0,7,1,0.875,1,22.88756152463569
475.22539049195836,8,0,1.0,1,7.9100521446952
480.0,7,1,0.875,1,24.298595415721223
475.15088377538467,8,0,1.0,1,22.08961971134504
479.60831269430946,8,0,1.0,1,5.0680005363961165
480.0,7,1,0.875,1,23.682692943880856
480.0,5,3,0.625,2,79.63163539528945
480.0,6,2,0.75,2,100.0
480.0,5,3,0.625,2,81.4875534647274
480.0,6,2,0.75,2,65.2177996198621
480.0,6,2,0.75,2,62.41330233391381
480.0,6,2,0.75,2,62.925118566754705
462.89702341255827,8,0,1.0,1,26.297621741023843
480.0,6,2,0.75,1,27.528510054921504
480.0,6,2,0.75,1,44.30672854676578
466.6661517595161,8,0,1.0,1,25.786057613435432
476.73968030964045,8,0,1.0,1,22.298691360548702
480.0,5,3,0.625,2,81.18076833952499
480.0,5,3,0.625,2,80.00295845190558
